Tanggal,Comment,standardized_text,Sentiment,Platform
2024-07-21,semoga tahun depan aku berjodoh dengan maybank marathon,semoga tahun depan saya berjodoh dengan maybank marathon,positif,Twitter
2024-07-21,Laki saya mau maybank marathon nii bulan depan. Udh jauh2 hari saya ngide make baju mario bros aja kita wkwk padahal guyon. Tp sepertinya bagi dia itu menarik wkwk,suami saya mau maybank marathon nih bulan depan. sudah dari jauh hari saya bercanda pakai baju mario bros saja kita [tertawa] padahal bercanda. tapi sepertinya bagi dia itu menarik [tertawa],positif,Twitter
2024-07-21,Wtb 21K,mencari 21 kilometer,netral,Instagram
2024-07-22,"Wtb 10k/ hm male/ L dm please, terima kasih🙏🙏","mencari 10 kilometer/half marathon pria ukuran l kirim pesan, terima kasih [memohon][memohon]",netral,Instagram
2024-07-22,Ada core strength lagi ga min yang seperti hari kamis kmrn?,ada core strength lagi tidak admin seperti hari kamis kemarin?,netral,Instagram
2024-07-22,4 weeks to maybank marathon 24.8 tu flight expected landing 10pm.. tak sure sempat ke nak collect race pack dan since dia tak bagi wakilkan orang aku tak tahu cane nak settle benda ni. Anyone ada experience? @maybankmarathon #maybankmarathon,"4 minggu lagi ke maybank marathon 24.8, penerbangan mendarat jam 22.00.. tidak yakin sempat ambil race pack dan karena tidak boleh diwakilkan, saya tidak tahu bagaimana caranya. ada yang punya pengalaman?",netral,Twitter
2024-07-22,"want to trade my FM to HM, cod at venue racepack collection","ingin tukar full marathon ke half marathon, bayar di tempat pengambilan racepack",netral,Instagram
2024-07-22,min itu mksdnya beginier 5 itu finish 5 jam ya?,admin itu maksudnya pemula 5 itu selesai 5 jam ya?,netral,Instagram
2024-07-22,Wtb 10k/hm guys,mencari 10 kilometer/half marathon teman,netral,Instagram
2024-07-22,"Wtb male 10k/hm L, bisa dm saya, terima kasih🙏🙏","mencari pria 10 kilometer/half marathon ukuran l, bisa kirim pesan ke saya, terima kasih [memohon][memohon]",netral,Instagram
2024-07-22,Wts slot FM. Hmu,menjual slot full marathon. kirim pesan,netral,Instagram
2024-07-22,wtb 10 km/hm,mencari 10 kilometer/half marathon,netral,Instagram
2024-07-22,Wts slot FM. HMU thru DM,menjual slot full marathon. kirim pesan lewat dm,netral,Instagram
2024-07-22,"WTB Male 10k/ HM ukuran L, minta tlg DM#
Terima kasih","mencari pria 10 kilometer/half marathon ukuran l, mohon kirim pesan terima kasih",netral,Instagram
2024-07-22,Wtb hm size S,mencari half marathon ukuran s,netral,Instagram
2024-07-23,@digilandid colek,colek,netral,Instagram
2024-07-23,Lebarun? @zzahiid,lebarun?,netral,Instagram
2024-07-23,gercep! 🤩🤩🤩 good luck buat yang kejar PB di Maybank! 🔥🔥,cepat sekali! [jatuh cinta][jatuh cinta] semoga sukses buat yang kejar catatan waktu terbaik di maybank! [api][api],positif,Instagram
2024-07-23,Kalo ini mah bener2 safe running bukan sekedar tagline💛💛💛,"kalau ini benar lari aman, bukan sekadar slogan [hati kuning][hati kuning]",positif,Instagram
2024-07-23,@KodokMontog bukannya masih maybank marathon ya yg banyak peminatnya mas??,bukannya masih maybank marathon ya yang banyak peminatnya mas??,netral,Twitter
2024-07-23,WTB 10K/HM 🙌,mencari 10 kilometer/half marathon [mengangkat tangan],netral,Instagram
2024-07-23,Hanya bisa hmmm 👀🥺,hanya bisa hm [mata melirik][memohon],negatif,Instagram
2024-07-23,"Semoga Tahun depan ga di tolak ya min, tolong banget deh nih pengen ikutan😂😍😍😍","semoga tahun depan tidak ditolak ya admin, tolong banget deh nih pengen ikutan [tertawa][jatuh cinta][jatuh cinta]",positif,Instagram
2024-07-23,"Terbaikk, semakin menyalaa maybank marathon 🔥🔥","terbaik, semakin menyala maybank marathon [api][api]",positif,Instagram
2024-07-23,best event ever ! MBM😍,acara terbaik! maybank bali marathon [jatuh cinta],positif,Instagram
2024-07-23,bandingkan dengan yg kemaren @okkyyoulikel,bandingkan dengan yang kemarin,netral,Instagram
2024-07-23,Untuk Elite label road race nya masih certified kah? Di web World Athletics ga terdaftar soalnya hiks. Di website kalian jg masih pake label tahun 2023,"untuk label elite lomba jalan raya masih tersertifikasi kah? di situs world athletics tidak terdaftar soalnya, sedih. di situs kalian juga masih pakai label tahun 2023",negatif,Instagram
2024-07-23,Yang Betul MMB kan ya. Knp byk yg sebut MBM,yang benar maybank marathon bali kan ya. kenapa banyak yang sebut maybank marathon,netral,Instagram
2024-07-23,2x juga ikut MBM dengan kategori HM....tak pernah kecewa n memuaskan banget.....mau ikut yg ke 3x nya sedih aku.....karna MBM keren banget eventnya❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥🔥,"2 kali ikut maybank marathon dengan kategori half marathon. tidak pernah kecewa dan sangat memuaskan. ingin ikut yang ketiga kali, sedih saya. karena maybank marathon keren banget acaranya [hati][hati][hati][hati][hati][api][api][api][api][api]",positif,Instagram
2024-07-23,"Saya kalah balot🥹, semoga taun depan bisa ikut 🔥","saya kalah undian [memohon], semoga tahun depan bisa ikut [api]",negatif,Instagram
2024-07-23,Otw kitaaa @ash_21std,berangkat kita,positif,Instagram
2024-07-23,Kereeen.. huhu nyesel ga ambil ini dr pada si biru..,keren.. huhu menyesal tidak ambil ini daripada si biru..,positif,Instagram
2024-07-23,Kuning vs biru ehh 🫣,kuning versus biru ehh [wajah malu],netral,Instagram
2024-07-23,"Rute baru🤩 terdaftar 12 juni lalu, ditunggu rilisnya @maybankmarathon 🔥","rute baru [terpesona] terdaftar 12 juni lalu, ditunggu rilisnya [api]",positif,Instagram
2024-07-23,rekomendasi nginap dimana yah .....😊😊😊 yang mumer dan deket lokasi,rekomendasi menginap di mana ya [tersenyum][tersenyum][tersenyum] yang murah dan dekat lokasi,netral,Instagram
2024-07-23,"Mantap ini, nganyari rute baru…, semangat @mirafai 🔥🔥🔥","mantap ini, memperbarui rute baru…, semangat [api][api][api]",positif,Instagram
2024-07-23,Gak sabar lari di Bali,tidak sabar lari di bali,positif,Instagram
2024-07-23,will this world athletic logo be printed on the medal's lanyard? 😐✌️🔥🩷,apakah logo world athletics ini akan dicetak di tali medali? [netral][salam dua jari][api][hati merah muda],netral,Instagram
2024-07-23,Coba liat nih @pocarisportid buat pelajaran event berikutnya.. jangan cuma mikirin CUAN tapi pikirin juga ttg KENYAMANAN baik PELARI maupun WARGA SEKITAR nya...,coba lihat nih buat pelajaran acara berikutnya. jangan hanya memikirkan keuntungan tapi pikirkan juga kenyamanan baik pelari maupun warga sekitar.,negatif,Instagram
2024-07-23,@hariyantodarmokusumo taun depann yuuuk❤️❤️❤️❤️,tahun depan ayo [hati][hati][hati][hati],positif,Instagram
2024-07-23,"@pocarisportid punten, introspeksi diri🙏🏾 lari di klakson dan diteriakin pengendara kendaraan SANGAT TIDAK NYAMAN.","maaf, introspeksi diri [memohon] lari disertai klakson dan teriakan pengendara kendaraan sangat tidak nyaman.",negatif,Instagram
2024-07-23,💛💛💛💛💛,[hati kuning][hati kuning],netral,Instagram
2024-07-23,#saferunning 🙌,[mengangkat tangan],netral,Instagram
2024-07-23,"Yg biru2 d tampar yg kuning, mari berbenah 😂","yang biru ditampar yang kuning, mari berbenah [tertawa]",netral,Instagram
2024-07-23,Bismillah maybank🔥,bismillah maybank [api],positif,Instagram
2024-07-23,Mampus lo dongo @pocarisportid,celaka kamu bodoh,negatif,Instagram
2024-07-23,Cadass senggolannya 💙,keren senggolannya [hati biru],positif,Instagram
2024-07-23,New course jangan dengan elev yg lebih dari sebelumnya ya... saya bukan rencana ikut trail run...,rute baru jangan dengan elevasi yang lebih dari sebelumnya ya. saya bukan rencana ikut lomba lari lintas alam.,negatif,Instagram
2024-07-23,See u on track 👏👏😍,sampai jumpa di lintasan [bertepuk tangan][bertepuk tangan][jatuh cinta],positif,Instagram
2024-07-23,🫶,[hati dengan tangan],netral,Instagram
2024-07-23,"Awesome!!! Can’t wait, see u runners 🔥🔥","keren sekali! tidak sabar, sampai jumpa pelari [api][api]",positif,Instagram
2024-07-23,"2018 (FM), 2022 (HM), 2023 (FM), 2024 (FM - Coming Soon). Maybank Bali Marathon @maybankmarathon ga pernah bikin kecewa! Cuma event ini yg selalu bkin degdegan dan selalu ditunggu ❤️","2018 (full marathon), 2022 (half marathon), 2023 (full marathon), 2024 (full marathon akan datang). maybank bali marathon tidak pernah mengecewakan! hanya acara ini yang selalu bikin deg degan dan selalu ditunggu [hati]",positif,Instagram
2024-07-23,Dengan penuh kesedihan taon ini ga MBM dulu. Ballotnya direject.. Good luck all runners.. 👏👏👏👏,dengan penuh kesedihan tahun ini tidak ikut maybank marathon. undian ditolak.. semoga sukses semua pelari.. [bertepuk tangan][bertepuk tangan],netral,Instagram
2024-07-23,🍻,[bersulang],netral,Instagram
2024-07-23,Semoga gak sekacau PSRI kemarin yah.,semoga tidak sekacau psri kemarin ya.,negatif,Instagram
2024-07-23,Kereeeeennnnnnnnn bangeeettttt👍🏻👍🏻👍🏻👏👏👏,keren sekali [jempol][jempol][bertepuk tangan][bertepuk tangan],positif,Instagram
2024-07-23,Maybank sedang memasak😂,maybank sedang mempersiapkan [tertawa],netral,Instagram
2024-07-23,Dorong Semangat Transformasi Maybank Marathon 2024 Akan Digelar di Bali,mendorong semangat transformasi maybank marathon 2024 akan digelar di bali,positif,Twitter
2024-07-23,Ini juara maaah🔥🔥 nga sabar aing lari lurr,ini juara banget [api][api] tidak sabar saya lari teman,positif,Instagram
2024-07-23,Kak regis nya harus pake email yg berbada ya dr slot yg kita punya?,"kak, registrasi harus pakai email yang berbeda ya dari slot yang kita punya?",netral,Instagram
2024-07-23,Tanggal 25 jam berapa larinya? Bentrok sama yg dewasa gak jamnya?,tanggal 25 jam berapa larinya? bentrok dengan yang dewasa tidak jadwalnya?,netral,Instagram
2024-07-23,🫣🫣🫣,[wajah malu][wajah malu],netral,Instagram
2024-07-23,wtb HM female XS/S DM please,mencari half marathon wanita ukuran xs/s kirim pesan ya,netral,Instagram
2024-07-23,Ga dapet slotnya kita ikutin trainingnya aja yak @giiepratiwi 😂🙈 gass🔥,tidak dapat slotnya kita ikuti latihannya saja ya [tertawa][malu][api],positif,Instagram
2024-07-23,masih berharap bgt ada yg jual wts'an orang marathon maybank bulan depan......anw kalo ada yg jual untuk male 10k please info.,masih berharap sekali ada yang menjual tiket orang yang batal ikut maybank marathon bulan depan. kalau ada yang jual untuk pria 10 kilometer tolong info.,netral,Twitter
2024-07-23,Wts hm male L,menjual half marathon pria ukuran l,netral,Instagram
2024-07-23,WTB HM Male M or L,mencari half marathon pria ukuran m atau l,netral,Instagram
2024-07-23,Min @maybankmarathon tempat jemput shuttle bus bisa di rubah ga ya ?,admin tempat penjemputan shuttle bus bisa diubah tidak ya?,netral,Instagram
2024-07-23,5k ada juga kah?😁,apakah ada 5 kilometer juga? [tersenyum],netral,Instagram
2024-07-23,ada yang mau tuker slot ? aku ada fm mau tuker hm. DM,ada yang mau tukar slot? saya punya full marathon mau tukar half marathon. kirim pesan ya,netral,Instagram
2024-07-23,wtb 10k male,mencari 10 kilometer pria,netral,Instagram
2024-07-24,Hope the best !,semoga yang terbaik!,positif,Instagram
2024-07-24,🔥🔥🔥🔥🤩🤩👏👏 Well done team,[api][api][api][api][terpesona][terpesona][bertepuk tangan][bertepuk tangan] kerja bagus tim,positif,Instagram
2024-07-24,Duhhh deg deg an VFM di bali 😭😭🤟🏻,duh deg degan virgin full marathon di bali [menangis][menangis][salam metal],netral,Instagram
2024-07-24,WTB 10K DAN HM. NEED COD,mencari 10 kilometer dan half marathon. butuh bayar di tempat,netral,Instagram
2024-07-24,🔥🙌👏,[api][mengangkat tangan][bertepuk tangan],netral,Instagram
2024-07-24,Sederhana tp event kmrn marah,sederhana tapi acara kemarin membuat marah,negatif,Instagram
2024-07-24,Di website World Athletics masih belum ada nama MMB kategori Elite Label Races di 2024 🙈,di situs world athletics masih belum ada nama maybank marathon bali kategori elite label races di 2024 [menutup mata],netral,Instagram
2024-07-24,mungkin yang berniat jual 10k nya butuh 2 🙏,mungkin yang berniat menjual 10 kilometer nya saya butuh 2 [memohon],netral,Instagram
2024-07-24,"Wtb 10k please, terima kasih 🙏🏻","mencari 10 kilometer tolong ya, terima kasih [memohon]",netral,Instagram
2024-07-24,WTS HM female L. DM me.,menjual half marathon wanita ukuran l. kirim pesan.,netral,Instagram
2024-07-24,Tah daftar!!..😂 @dellyfitriansyah,sudah daftar!! [tertawa],positif,Instagram
2024-07-24,"Tapi tanjakan tanjakan nya selalu gak sopan, tidak mikirin lutut kita para bapack bapack millenial 😂😂😂😂😂😂😂😂😂😂😂😂😂","tapi tanjakannya selalu tidak sopan, tidak memikirkan lutut kita para bapak milenial [tertawa panjang]",negatif,Instagram
2024-07-24,@litarezeki.s ijin ini mba banget🤩,izin ini kak banget [terpesona],positif,Instagram
2024-07-24,Yang ga jadi hm uyy,yang batal ikut half marathon ayo,netral,Instagram
2024-07-24,#saferunning biru kan indonesia eh jangan lupa klaksonnyaaa 😂,biru kan indonesia eh jangan lupa klaksonnya [tertawa],netral,Instagram
2024-07-24,Alhamdulilah ternyata aku tidak salah pilih event lari ❤️🔥,alhamdulillah ternyata saya tidak salah pilih acara lari [hati][api],positif,Instagram
2024-07-24,Begini seharusnya penyelenggara event lari tuh meningkatkan diri ke level yang lebih baik setiap tahunnya...jangan cuma branding produk terus tapi nggak ningkatin level event larinya supaya tersertifikasi,seharusnya penyelenggara acara lari itu meningkatkan diri ke level yang lebih baik setiap tahun. jangan hanya branding produk terus tapi tidak meningkatkan kualitas acara larinya supaya tersertifikasi,negatif,Instagram
2024-07-24,MMB  is the best 👍🏻👍🏻👍🏻👏👏👏👏,maybank marathon bali yang terbaik [jempol][jempol][jempol][bertepuk tangan][bertepuk tangan],positif,Instagram
2024-07-24,Pengen deh hm di sana,ingin sekali ikut half marathon di sana,netral,Instagram
2024-07-24,"Sertifikasi rute butuh kerjasama yg kuat sm pemerintah setempat sbg pihak yg punya jalan, itulah knp race2 di pulau Jawa yg udah dpt sertifikasi AIMS backingannya brand2 BUMN/lembaga negara kyk BTN, Mandiri, Bank Jateng, dan LPS sbg titling sponsor. Maybank bs dibilang pinter dan beruntung krn birokrasi pemerintah Bali gak sekompleks Jawa","sertifikasi rute butuh kerja sama yang kuat dengan pemerintah setempat sebagai pemilik jalan, itu sebabnya lomba di pulau jawa yang sudah dapat sertifikasi aims didukung oleh merek bumn/lembaga negara seperti btn, mandiri, bank jateng, dan lps sebagai sponsor utama. maybank bisa dibilang pintar dan beruntung karena birokrasi pemerintah bali tidak sekompleks jawa",netral,Instagram
2024-07-24,Kalo Mizone Suitt Run Irlandia Utara gimana bang @prana.adhy7 🙈😜 #saferunning 🔥🔝,kalau mizone suitt run irlandia utara bagaimana bang [menutup mata][nakal] [api][teratas],netral,Instagram
2024-07-24,Congratulations 🙌🔥👏❤️,selamat [mengangkat tangan][api][bertepuk tangan][hati],positif,Instagram
2024-07-24,"bgini dong @pocarisportid  jangan cuma cari cuan doang, perhatiin juga kenyamanan pelari,","seperti ini dong jangan hanya cari keuntungan saja, perhatikan juga kenyamanan pelari,",negatif,Instagram
2024-07-24,woohooooo,wooho,positif,Instagram
2024-07-24,Riizzzz 🔥🙌,riiz [api][mengangkat tangan],positif,Instagram
2024-07-24,Apa kabar tanjakan?,apa kabar tanjakan?,netral,Instagram
2024-07-24,Let him cook🔥🔥,biarkan dia memasak [api][api],positif,Instagram
2024-07-24,jadi semakin berterima kasih sm @zinc_id yang udh kasih gw Free Slot HM di Maybank Marathon🤩🙏🙏,jadi semakin berterima kasih kepada yang sudah memberikan saya slot gratis half marathon di maybank marathon [terpesona][memohon][memohon],positif,Instagram
2024-07-24,Saya punya 10 K kalonada yang mau tuker 21 K HM boleh,saya punya 10 kilometer kalau ada yang mau tukar dengan 21 kilometer half marathon boleh,netral,Instagram
2024-07-24,👍👍👍,[jempol][jempol][jempol],positif,Instagram
2024-07-24,Luar biasa MBM,luar biasa maybank marathon bali,positif,Instagram
2024-07-24,see youuuuuu❤️❤️❤️,sampai jumpa [hati][hati][hati],positif,Instagram
2024-07-24,🔥🔥🔥💛💛💛,[api][api][api][hati kuning][hati kuning],positif,Instagram
2024-07-24,Pasti di sini juga jadi ajang keluh kesah event si biru. Semoga di sini lebih oke eksekusinya,pasti di sini juga jadi tempat curhat soal acara si biru. semoga di sini lebih baik pelaksanaannya,netral,Instagram
2024-07-24,Giliran ga daftar utk tahun ini malah rute baru 😩😩,giliran tidak daftar untuk tahun ini malah rute baru [kecewa][kecewa],negatif,Instagram
2024-07-24,Masok pak eko 😂,masuk pak eko [tertawa],netral,Instagram
2024-07-24,Wtb hm kalo ada,mencari half marathon kalau ada,netral,Instagram
2024-07-24,Mantapppppp,mantap,positif,Instagram
2024-07-24,@adonbukandoni Dari dulu juga sebenernya udah ada bahkan pernah ada yang ikut Maybank Marathon tapi dari KM 15 sampai 32 pake ojek,dari dulu juga sebenarnya sudah ada bahkan pernah ada yang ikut maybank marathon tapi dari kilometer 15 sampai 32 naik ojek,negatif,Twitter
2024-07-24,@qronoz Dan digitalisasi tanda peserta yang udah ambil paket lari. Selama ini kan masih tulis tangan di kertas tuh oleh RunID. Maybank Marathon udah digital bahkan face recognition,dan digitalisasi tanda peserta yang sudah ambil paket lari. selama ini masih tulis tangan di kertas oleh runid. maybank marathon sudah digital bahkan pakai pengenal wajah,positif,Twitter
2024-07-24,Ikutkan ada Maybank Marathon Bali lagi. Tapi clashhhh,ikutkan ada maybank marathon bali lagi. tapi bentrok,netral,Twitter
2024-07-25,@falla_adinda @djaycoholyc BANYAK BANGET GAK ABIS-ABIS WKWK. Tapi ini kayak di Maybank Marathon 2018 pelakunya lari dari KM 35 sampai finish,banyak banget tidak habis wkwk. tapi ini kayak di maybank marathon 2018 pelakunya lari dari kilometer 35 sampai garis akhir,negatif,Twitter
2024-07-25,Maybank Marathon tahun kemarin .. Can't wait for maybank marathon 2024 this year ...,maybank marathon tahun lalu. tidak sabar untuk maybank marathon 2024 tahun ini.,positif,Twitter
2024-07-25,"WTB 1 slot FM, COD Bali","mencari 1 slot full marathon, bayar di tempat di bali",netral,Instagram
2024-07-25,Maybank Marathon Bali here we go!,"maybank marathon bali, ayo berangkat!",positif,Twitter
2024-07-25,Ndang @rindang_sitarani,ayo cepat,positif,Instagram
2024-07-25,Wtb 10k dong 🙌🙌,mencari 10 kilometer dong [mengangkat tangan][mengangkat tangan],netral,Instagram
2024-07-25,Pacer nya sapa aja???,pelari pengatur kecepatan siapa saja?,netral,Instagram
2024-07-25,"Aduuuh, pas ngak ikutaaaan... 😢","aduh, pas tidak ikutan. [sedih]",negatif,Instagram
2024-07-25,@rezasuneth 🔥,[api],positif,Instagram
2024-07-25,untuk hari rabu itu gimna min?,untuk hari rabu itu bagaimana admin?,netral,Instagram
2024-07-25,min core mobility di gbk itu dimana nya ya,"admin, core mobility di gelora bung karno itu lokasinya di mana ya?",netral,Instagram
2024-07-25,WTB FM male DM ya!,mencari full marathon pria kirim pesan ya!,netral,Instagram
2024-07-25,Moga2 gak kaya pocari😂,semoga tidak seperti pocari [tertawa],negatif,Instagram
2024-07-25,Saya tdk bisa lanjut daftar krn sdh regristered.. bgmna untuk mendaftarkan anak?,saya tidak bisa lanjut daftar karena sudah terdaftar.. bagaimana cara mendaftarkan anak?,netral,Instagram
2024-07-26,semakin cepat keluar rutenya semakin bagus untuk peserta dan sosialisasi kepada warga mengenai penutupan jalan sementara,semakin cepat rute diumumkan semakin bagus untuk peserta dan sosialisasi kepada warga mengenai penutupan jalan sementara,positif,Instagram
2024-07-26,Sepertinya bakal lepasin BIB Maybank Marathon 2024 HM ada yang minat?,"sepertinya akan melepas bib maybank marathon 2024 half marathon, ada yang minat?",netral,Twitter
2024-07-26,"habis 30km, brp km lagi?","setelah 30 kilometer, berapa kilometer lagi?",netral,Instagram
2024-07-26,Dicari slot maybank marathon,mencari slot maybank marathon,netral,Twitter
2024-07-26,Are taxis allowed to drive near to the start line? Thanks,apakah taksi diperbolehkan mendekat ke garis awal? terima kasih,netral,Instagram
2024-07-27,Ada yang jual ticket Full marathon ngak kak?,ada yang jual tiket full marathon tidak kak?,netral,Instagram
2024-07-27,Sama sekali ga ada target mo ikut race road apaan. Pengen HM di maybank doang sebenernya tapi karna g dapat ballot yaudah wkwk Trus ngliat yutub kayaknya seru marathon lalu mengingatkan diri sendiri kalo ga suka lari road please deh,"sama sekali tidak ada target mau ikut lomba lari jalan apa. ingin ikut half marathon di maybank saja sebenarnya tapi karena tidak dapat undian ya sudah [tertawa] lalu lihat youtube sepertinya seru maraton, tapi ingatkan diri sendiri kalau tidak suka lari jalan tolonglah",netral,Twitter
2024-07-27,WTS tiket maybank marathon FM minat DM,"menjual tiket maybank marathon full marathon, minat kirim pesan",netral,Twitter
2024-07-27,WTB FM Male DM ya!,mencari full marathon pria kirim pesan ya!,netral,Instagram
2024-07-27,"WTB , FM MALE SIZE L,XL",mencari full marathon pria ukuran l atau xl,netral,Instagram
2024-07-27,Wtb hm 1 aja 🙌,mencari half marathon satu saja [mengangkat tangan],netral,Instagram
2024-07-27,"@maybankmarathon info hotel yg dilewati shuttle, krn yg dekat sptnya susah","info hotel yang dilewati shuttle, karena yang dekat sepertinya sulit",netral,Instagram
2024-07-27,WTB 10k men,mencari 10 kilometer pria,netral,Instagram
2024-07-27,🙌🙌🙌🙌 See you in Bali 😍,[mengangkat tangan][mengangkat tangan] sampai jumpa di bali [jatuh cinta],positif,Instagram
2024-07-27,Siap terima menggandakan bib 😂,siap menerima penggandaan bib [tertawa],netral,Instagram
2024-07-27,Info hotel yg dekat donk,info hotel yang dekat dong,netral,Instagram
2024-07-27,"Jakarta full, izin ngekor 🙏","jakarta penuh, izin mengikuti diam [memohon]",positif,Instagram
2024-07-27,WTB Full Marathon,mencari full marathon,netral,Instagram
2024-07-27,Minggu depan saya ada acara di bandung. Tgl 4 agustus ada yang mau hadir?,minggu depan saya ada acara di bandung. tanggal 4 agustus ada yang mau hadir?,netral,Instagram
2024-07-27,"WTB FM Male, DM ya!","mencari full marathon pria, kirim pesan ya!",netral,Instagram
2024-07-28,El high light de la #mmB2024:,sorotan dari,netral,Twitter
2024-07-28,Siap menaklukkan Maybank Marathon 2024? Jangan lupa booking kamar di RedDoorz terdekat. Dapatkan harga spesial dengan kode promo: RDAFFMYBANKMARATHON2024. Istirahat yang nyaman setelah berlari. #maybankmarathon2024,siap menaklukkan maybank marathon 2024? jangan lupa pesan kamar di reddoorz terdekat. dapatkan harga spesial dengan kode promo: rdaffmybankmarathon2024. istirahat yang nyaman setelah berlari.,positif,Twitter
2024-07-28,WTB maybank bali marathon woman 10k!!! Pls hmu,mencari wanita 10 kilometer maybank bali marathon! silakan kirim pesan,netral,Twitter
2024-07-28,Siap menaklukkan Maybank Marathon 2024? Jangan lupa booking kamar di RedDoorz terdekat. Dapatkan harga spesial dengan kode promo: RDAFFMYBANKMARATHON2024. Istirahat yang nyaman setelah berlari.,siap menaklukkan maybank marathon 2024? jangan lupa pesan kamar di reddoorz terdekat. dapatkan harga spesial dengan kode promo: rdaffmybankmarathon2024. istirahat yang nyaman setelah berlari.,positif,Instagram
2024-07-28,"WTB male 10k, please dm","mencari pria 10 kilometer, silakan kirim pesan",netral,Instagram
2024-07-28,40k people running through rainy beautiful Bogotá this morning #mmb2024,40 orang berlari melewati bogotá yang indah dan hujan pagi ini,positif,Twitter
2024-07-28,WTB 10K men,mencari 10 kilometer pria,netral,Instagram
2024-07-28,Achievement unlocked! Beat my Half-Marathon record today: not bad for an old codger running at an altitude of 2 600 meters #mmb2024 #run #running,pencapaian terbuka! mengalahkan rekor half marathon hari ini: tidak buruk untuk orang tua yang berlari di ketinggian 2600 meter,positif,Twitter
2024-07-28,WTB 10k ❤️,mencari 10 kilometer [hati],netral,Instagram
2024-07-28,Adakah yang jual 10 K atau HM?,adakah yang jual 10 kilometer atau half marathon?,netral,Instagram
2024-07-28,Ada yg jual slot hm ga?,ada yang jual slot half marathon tidak?,netral,Instagram
2024-07-28,"Ka masih pemula nih , yg 10k itu ada juga ya di maybank ntar pengen banget ikut takut ga mampu yg half marathon","kak, saya masih pemula nih, 10 kilometer itu ada juga ya di maybank? nanti ingin banget ikut, takut tidak mampu kalau half marathon",netral,Instagram
2024-07-28,Berangkat jam 5 subuh setengah 6 long run 30k persiapan Maybank Marathon lanjut jam 10 ke UPI buat ngelatih jam 12 main slopitch. Jam 2 tepar tidur di tribun diem di UPI sampe jam 6 pulang ke rumah sampai jam 7.,"berangkat jam 5 subuh, setengah 6 long run 30 kilometer persiapan maybank marathon, lanjut jam 10 ke upi buat melatih, jam 12 main slowpitch. jam 2 tepar tidur di tribun, diam di upi sampai jam 6, pulang ke rumah sampai jam 7.",positif,Twitter
2024-07-28,#Mmb2024 check,diperiksa,netral,Twitter
2024-07-29,Finally dapet borobudur marathon gak dapet maybank ya udah gpp,"akhirnya dapat borobudur marathon, tidak dapat maybank ya sudah tidak apa",netral,Twitter
2024-07-29,"Minggu kmren 30K done
Minggu ini 22K🥵😝😁",minggu kemarin 30 kilometer selesai. minggu ini 22 kilometer [lelah][nakal][tersenyum],positif,Instagram
2024-07-29,Menggebu-gebu,semangat menggebu gebu,positif,Instagram
2024-07-29,Yeaaay “cuma” 22K @andesi_tachi @jsahetapyengel @fhujijabson,yeaay “cuma” 22 kilometer,positif,Instagram
2024-07-29,lg nyari slot 21 k...,lagi mencari slot 21 kilometer.,netral,Instagram
2024-07-29,WTB SLOT HM,mencari slot half marathon,netral,Instagram
2024-07-29,WTB yg mau cancel dm ya 🙏,"mencari yang mau batal ikut, kirim pesan ya [memohon]",netral,Instagram
2024-07-29,Wtb HM male plss 🙏,mencari half marathon pria tolong banget [memohon],netral,Instagram
2024-07-29,Cari slot HM 🙏,cari slot half marathon [memohon],netral,Instagram
2024-07-29,"Yang mau HM (Male size L) + Penginapan, harus 1 paket, boleh DM","yang mau half marathon (pria ukuran l) + penginapan, harus 1 paket, boleh kirim pesan",netral,Instagram
2024-07-29,"Want to buy atau want to join penginapan sekitar lokasi race pleasee. awalnya berpikir stay di Kuta dan pake bus suttle tapi kyaknya terlalu melelahkan. kalau ada yg masih punya slot buat sharing penginapan, please let me know. 🙏🥹","ingin membeli atau ingin bergabung menginap di sekitar lokasi lomba, tolong ya. awalnya berpikir menginap di kuta dan naik bus shuttle tapi sepertinya terlalu melelahkan. kalau ada yang punya slot untuk berbagi penginapan, tolong beri tahu. [memohon][menangis]",netral,Instagram
2024-07-29,Otw tapering,dalam perjalanan menuju masa taper,netral,Instagram
2024-07-29,"ada yang mau tukar, jersey saya ukuran M cari ukuran L?","ada yang mau tukar, jersey saya ukuran m cari ukuran l?",netral,Instagram
2024-07-29,Hati-hati dengan akun @ihsandita temen saya udah ada jadi korban🙏🏻🔥,hati dengan akun teman saya sudah jadi korban [memohon][api],negatif,Instagram
2024-07-29,@praja.bayhaqqy  jarak mlayune wes dikurangi dadi gak sido gendeng 😂😂😂😂,jarak larinya sudah dikurangi jadi tidak jadi gila [tertawa],positif,Instagram
2024-07-29,"Min, mksdnya beginner 05:00’ apa ya?","admin, maksudnya pemula 05:00’ itu apa ya?",netral,Instagram
2024-07-29,after30km .. 22km alhamdulillah 😂🥵,setelah 30 kilometer .. lanjut 22 kilometer alhamdulillah [tertawa][lelah],positif,Instagram
2024-07-29,"Minggu kmrn gagal long run, gk dpt waktu ny 🥺","minggu kemarin gagal long run, tidak dapat waktunya [sedih]",negatif,Instagram
2024-07-29,"Salah 1 anggota pacer-6 di CFD jakarra 28/7, cukup arogan sampe nyenggol orang yg jogging dan jalan santai","salah satu anggota pelari pengatur kecepatan 6 di car free day jakarta 28 juli, cukup arogan sampai menyenggol orang yang jogging dan jalan santai",negatif,Instagram
